Theme,English,English meaning,Francais
"Vie quotidienne, culture et actualité",prey,animal hunted and eaten by another,proie
"Vie quotidienne, culture et actualité",probation,supervised period served instead of prison,mise à l'épreuve
"Vie quotidienne, culture et actualité",procession,orderly line of people moving ceremonially,"cortège, procession"
"Vie quotidienne, culture et actualité",prognosis,doctor's forecast of how illness will develop,pronostic
"Vie quotidienne, culture et actualité",promenade,paved walkway along the seafront,"front de mer, promenade"
"Vie quotidienne, culture et actualité",prompter,person feeding forgotten lines to actors,souffleur
"Vie quotidienne, culture et actualité",proofread,to check written text for errors,relire et corriger
"Vie quotidienne, culture et actualité",proofreader,person who checks texts for mistakes,correcteur
"Vie quotidienne, culture et actualité",props,objects handled by actors on stage,accessoires
"Vie quotidienne, culture et actualité",protagonist,main character in a story,"protagoniste, personnage principal"
"Vie quotidienne, culture et actualité",protest march,organised walk demonstrating public opposition,"marche de protestation, manifestation"
"Vie quotidienne, culture et actualité",provisions,supplies of food and other necessities,"vivres, provisions"
"Vie quotidienne, culture et actualité",publisher,company that produces and sells books,"éditeur, maison d'édition"
"Vie quotidienne, culture et actualité",puddle,small pool of rainwater on the ground,flaque
"Vie quotidienne, culture et actualité",punctuation,marks organising the parts of written sentences,ponctuation
"Vie quotidienne, culture et actualité",puncture,hole causing a tyre to deflate,crevaison
"Vie quotidienne, culture et actualité",quilt,thick padded bed covering,"édredon, courtepointe"
"Vie quotidienne, culture et actualité",raffle,lottery with prizes drawn from sold tickets,tombola
"Vie quotidienne, culture et actualité",railings,fence of metal bars around an area,"grilles, rambarde"
"Vie quotidienne, culture et actualité",raise a toast,to lift glasses in honour of someone,"porter un toast, trinquer"
"Vie quotidienne, culture et actualité",ramshackle,badly built and close to collapse,"branlant, délabré"
"Vie quotidienne, culture et actualité",rave review,extremely enthusiastic published praise,critique dithyrambique
"Vie quotidienne, culture et actualité",ravine,deep narrow valley with steep sides,ravin
"Vie quotidienne, culture et actualité",ready meal,pre-cooked dish needing only heating,plat préparé
"Vie quotidienne, culture et actualité",rear-view mirror,glass letting drivers see behind them,rétroviseur
"Vie quotidienne, culture et actualité",rechargeable,able to be refilled with electrical power,rechargeable
"Vie quotidienne, culture et actualité",recovery,return to health or a normal condition,"rétablissement, guérison"
"Vie quotidienne, culture et actualité",recuperate,to regain strength after illness,"se rétablir, récupérer"
"Vie quotidienne, culture et actualité",recycling,reprocessing waste into usable materials,recyclage
"Vie quotidienne, culture et actualité",reed,tall stiff grass growing beside water,roseau
"Vie quotidienne, culture et actualité",refectory,dining hall in a college or monastery,réfectoire
"Vie quotidienne, culture et actualité",reference book,volume consulted for specific facts,ouvrage de référence
"Vie quotidienne, culture et actualité",referendum,direct public vote on a single issue,référendum
"Vie quotidienne, culture et actualité",reforestation,replanting trees on cleared land,reboisement
"Vie quotidienne, culture et actualité",refugee,person fleeing war or persecution abroad,réfugié
"Vie quotidienne, culture et actualité",refuse collection,municipal service removing household rubbish,collecte des ordures
"Vie quotidienne, culture et actualité",registry office,place where marriages and births are recorded,bureau d'état civil
"Vie quotidienne, culture et actualité",rehearsal,practice session before a public performance,répétition
"Vie quotidienne, culture et actualité",remission,period when a disease temporarily improves,rémission
"Vie quotidienne, culture et actualité",renewable energy,power from sources that never run out,énergies renouvelables
"Vie quotidienne, culture et actualité",renown,widespread fame and high reputation,renommée
"Vie quotidienne, culture et actualité",report card,written record of a pupil's progress,bulletin scolaire
"Vie quotidienne, culture et actualité",residence,place where somebody officially lives,"résidence, domicile"
"Vie quotidienne, culture et actualité",residence permit,document allowing a foreigner to stay legally,titre de séjour
"Vie quotidienne, culture et actualité",resit,to take an examination again after failing,rattrapage
"Vie quotidienne, culture et actualité",retch,to make vomiting movements without bringing anything up,avoir des haut-le-cœur
"Vie quotidienne, culture et actualité",retirement home,residence caring for elderly people,maison de retraite
"Vie quotidienne, culture et actualité",revelry,lively noisy celebration and merrymaking,liesse
"Vie quotidienne, culture et actualité",revise,to study again before an examination,réviser
"Vie quotidienne, culture et actualité",ride-sharing,arrangement where passengers travel together in one car,covoiturage
"Vie quotidienne, culture et actualité",ridge,long narrow raised crest of land,"crête, arête"
"Vie quotidienne, culture et actualité",rind,tough outer skin of fruit or cheese,"couenne, écorce"
"Vie quotidienne, culture et actualité",ring road,route encircling a town centre,"périphérique, boulevard périphérique"
"Vie quotidienne, culture et actualité",ripen,to become fully mature and ready to eat,mûrir
"Vie quotidienne, culture et actualité",ripple,small wave moving across water,"ondulation, ride"
"Vie quotidienne, culture et actualité",rite,formal act performed in a religious ceremony,rite
"Vie quotidienne, culture et actualité",ritual,set of actions repeated in fixed order,rituel
"Vie quotidienne, culture et actualité",riverbank,land bordering the edge of a stream,"berge, rive"
"Vie quotidienne, culture et actualité",riverbed,ground lying beneath a flowing watercourse,lit de la rivière
"Vie quotidienne, culture et actualité",rivulet,very small narrow stream,ruisselet
"Vie quotidienne, culture et actualité",roadworthiness test,annual safety inspection of a vehicle,contrôle technique
"Vie quotidienne, culture et actualité",rosy-cheeked,having a healthy pink complexion,aux joues roses
"Vie quotidienne, culture et actualité",rot,to decay through bacterial action,pourrir
"Vie quotidienne, culture et actualité",rote learning,memorising by repetition without understanding,apprentissage par cœur
"Vie quotidienne, culture et actualité",rudder,hinged blade steering a boat or aircraft,gouvernail
"Vie quotidienne, culture et actualité",run-of-the-mill,ordinary and lacking any special quality,"quelconque, ordinaire"
"Vie quotidienne, culture et actualité",runny nose,nostrils discharging mucus continuously,nez qui coule
"Vie quotidienne, culture et actualité",rush hour,busiest commuting period of the day,heure de pointe
"Vie quotidienne, culture et actualité",rustle,soft dry sound of moving leaves,bruissement
"Vie quotidienne, culture et actualité",sallow,having an unhealthy yellowish complexion,"cireux, jaunâtre"
"Vie quotidienne, culture et actualité",salve,soothing ointment applied to wounds,baume
"Vie quotidienne, culture et actualité",sanitiser,gel that kills germs on hands,désinfectant
"Vie quotidienne, culture et actualité",sapling,young slender newly grown tree,jeune arbre
"Vie quotidienne, culture et actualité",satchel,shoulder bag for carrying school books,cartable
"Vie quotidienne, culture et actualité",satiated,fully satisfied after eating enough,"rassasié, repu"
"Vie quotidienne, culture et actualité",saucepan,deep cooking pot with a handle,casserole
"Vie quotidienne, culture et actualité",savour,to enjoy a taste or experience slowly,"savourer, déguster"
"Vie quotidienne, culture et actualité",savoury,salty rather than sweet in flavour,"salé, savoureux"
"Vie quotidienne, culture et actualité",scaffolding,temporary framework supporting building workers,échafaudage
"Vie quotidienne, culture et actualité",scathing review,severely critical published assessment,critique cinglante
"Vie quotidienne, culture et actualité",scavenger,creature feeding on dead remains and refuse,charognard
"Vie quotidienne, culture et actualité",scenery,natural features of a landscape viewed,"paysage, panorama"
